ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS
18	1	關睢	1.5	2	左右a芼之	左 + 右 + 芼 + 之	左 + 右 + 芼 + 之	1.5.a	芼	0 0 5 0
19	1	關睢	1.5	3	窈宨淑女	窈 + 宨 + 淑 + 女	窈 + 宨 + 淑 + 女		女	0 0 0 0
20	1	關睢	1.5	4	鍾鼓a樂之	鍾 + 鼓 + 樂 + 之	鍾 + 鼓 + 樂 + 之	1.5.a	樂	0 0 5 0
21	2	葛覃	2.1	1	葛之覃兮	葛 + 之 + 覃 + 兮	葛 + 之 + 覃 + 兮		覃	0 0 0 0
22	2	葛覃	2.1	2	施于中a谷	施 + 于 + 中 + 谷	施 + 于 + 中 + 谷	2.1.a	谷	0 0 0 6
23	2	葛覃	2.1	3	維葉萋b萋	維 + 葉 + 萋 + 萋	維 + 葉 + 萋 + 萋	2.1.b	萋	0 0 0 7
24	2	葛覃	2.1	4	黃鳥于b飛	黃 + 鳥 + 于 + 飛	黃 + 鳥 + 于 + 飛	2.1.b	飛	0 0 0 7
25	2	葛覃	2.1	5	集于灌a木	集 + 于 + 灌 + 木	集 + 于 + 灌 + 木	2.1.a	木	0 0 0 6
26	2	葛覃	2.1	6	其鳴喈b喈	其 + 鳴 + 喈 + 喈	其 + 鳴 + 喈 + 喈	2.1.b	喈	0 0 0 7
27	2	葛覃	2.2	1	葛之覃兮	葛 + 之 + 覃 + 兮	葛 + 之 + 覃 + 兮		覃	0 0 0 0
28	2	葛覃	2.2	2	施于中谷	施 + 于 + 中 + 谷	施 + 于 + 中 + 谷		谷	0 0 0 0
29	2	葛覃	2.2	3	維葉莫a莫	維 + 葉 + 莫 + 莫	維 + 葉 + 莫 + 莫	2.2.a	莫	0 0 0 8
30	2	葛覃	2.2	4	是刈是a濩	是 + 刈 + 是 + 濩	是 + 刈 + 是 + 濩	2.2.a	濩	0 0 0 8
31	2	葛覃	2.2	5	為絺為a綌	為 + 絺 + 為 + 綌	為 + 絺 + 為 + 綌	2.2.a	綌	0 0 0 8
32	2	葛覃	2.2	6	服之無a斁	服 + 之 + 無 + 斁	服 + 之 + 無 + 斁	2.2.a	斁	0 0 0 8
33	2	葛覃	2.3	1	言告師氏	言 + 告 + 師 + 氏	言 + 告 + 師 + 氏		氏	0 0 0 0
34	2	葛覃	2.3	2	言告言a歸	言 + 告 + 言 + 歸	言 + 告 + 言 + 歸	2.3.a	歸	0 0 0 9
35	2	葛覃	2.3	3	薄污我a私	薄 + 污 + 我 + 私	薄 + 污 + 我 + 私	2.3.a	私	0 0 0 9
36	2	葛覃	2.3	4	薄澣我a衣	薄 + 澣 + 我 + 衣	薄 + 澣 + 我 + 衣	2.3.a	衣	0 0 0 9
37	2	葛覃	2.3	5	害澣害b否	害 + 澣 + 害 + 否	害 + 澣 + 害 + 否	2.3.b	否	0 0 0 10
38	2	葛覃	2.3	6	歸寧父b母	歸 + 寧 + 父 + 母	歸 + 寧 + 父 + 母	2.3.b	母	0 0 0 10
39	3	卷耳	3.1	1	采采卷耳	采 + 采 + 卷 + 耳	采 + 采 + 卷 + 耳		耳	0 0 0 0
40	3	卷耳	3.1	2	不盈頃a筐	不 + 盈 + 頃 + 筐	不 + 盈 + 頃 + 筐	3.1.a	筐	0 0 0 11
41	3	卷耳	3.1	3	嗟我懷人	嗟 + 我 + 懷 + 人	嗟 + 我 + 懷 + 人		人	0 0 0 0
42	3	卷耳	3.1	4	寘彼周a行	寘 + 彼 + 周 + 行	寘 + 彼 + 周 + 行	3.1.a	行	0 0 0 11
43	3	卷耳	3.2	1	陟彼a崔a嵬	陟 + 彼 + 崔 + 嵬	陟 + 彼 + 崔 + 嵬	3.2.a	崔	0 0 12 12
45	3	卷耳	3.2	3	我馬a虺a隤	我 + 馬 + 虺 + 隤	我 + 馬 + 虺 + 隤	3.2.a	虺	0 0 12 12
47	3	卷耳	3.2	5	我姑酌彼金a罍	我 + 姑 + 酌 + 彼 + 金 + 罍	我 + 姑 + 酌 + 彼 + 金 + 罍	3.2.a	罍	0 0 0 0 0 12
48	3	卷耳	3.2	6	維以不永a懷	維 + 以 + 不 + 永 + 懷	維 + 以 + 不 + 永 + 懷	3.2.a	懷	0 0 0 0 12
49	3	卷耳	3.3	1	陟彼高a岡	陟 + 彼 + 高 + 岡	陟 + 彼 + 高 + 岡	3.3.a	岡	0 0 0 13
50	3	卷耳	3.3	2	我馬玄a黃	我 + 馬 + 玄 + 黃	我 + 馬 + 玄 + 黃	3.3.a	黃	0 0 0 13
51	3	卷耳	3.3	3	我姑酌彼兕a觥	我 + 姑 + 酌 + 彼 + 兕 + 觥	我 + 姑 + 酌 + 彼 + 兕 + 觥	3.3.a	觥	0 0 0 0 0 13
52	3	卷耳	3.3	4	維以不永a傷	維 + 以 + 不 + 永 + 傷	維 + 以 + 不 + 永 + 傷	3.3.a	傷	0 0 0 0 13
53	3	卷耳	3.4	1	陟彼a砠矣	陟 + 彼 + 砠 + 矣	陟 + 彼 + 砠 + 矣	3.4.a	砠	0 0 14 0
54	3	卷耳	3.4	2	我馬a瘏矣	我 + 馬 + 瘏 + 矣	我 + 馬 + 瘏 + 矣	3.4.a	瘏	0 0 14 0
55	3	卷耳	3.4	3	我僕a痡矣	我 + 僕 + 痡 + 矣	我 + 僕 + 痡 + 矣	3.4.a	痡	0 0 14 0
56	3	卷耳	3.4	4	云何a吁矣	云 + 何 + 吁 + 矣	云 + 何 + 吁 + 矣	3.4.a	吁	0 0 14 0
57	4	樛木	4.1	1	南有樛木	南 + 有 + 樛 + 木	南 + 有 + 樛 + 木		木	0 0 0 0
58	4	樛木	4.1	2	葛藟a纍之	葛 + 藟 + 纍 + 之	葛 + 藟 + 纍 + 之	4.1.a	纍	0 0 15 0
59	4	樛木	4.1	3	樂只君子	樂 + 只 + 君 + 子	樂 + 只 + 君 + 子		子	0 0 0 0
60	4	樛木	4.1	4	福履a綏之	福 + 履 + 綏 + 之	福 + 履 + 綏 + 之	4.1.a	綏	0 0 15 0
61	4	樛木	4.2	1	南有樛木	南 + 有 + 樛 + 木	南 + 有 + 樛 + 木		木	0 0 0 0
62	4	樛木	4.2	2	葛藟a荒之	葛 + 藟 + 荒 + 之	葛 + 藟 + 荒 + 之	4.2.a	荒	0 0 16 0
63	4	樛木	4.2	3	樂只君子	樂 + 只 + 君 + 子	樂 + 只 + 君 + 子		子	0 0 0 0
64	4	樛木	4.2	4	福履a將之	福 + 履 + 將 + 之	福 + 履 + 將 + 之	4.2.a	將	0 0 16 0
65	4	樛木	4.3	1	南有樛木	南 + 有 + 樛 + 木	南 + 有 + 樛 + 木		木	0 0 0 0
66	4	樛木	4.3	2	葛藟a縈之	葛 + 藟 + 縈 + 之	葛 + 藟 + 縈 + 之	4.3.a	縈	0 0 17 0
67	4	樛木	4.3	3	樂只君子	樂 + 只 + 君 + 子	樂 + 只 + 君 + 子		子	0 0 0 0
68	4	樛木	4.3	4	福履a成之	福 + 履 + 成 + 之	福 + 履 + 成 + 之	4.3.a	成	0 0 17 0
69	5	螽斯	5.1	1	螽斯羽	螽 + 斯 + 羽	螽 + 斯 + 羽		羽	0 0 0
70	5	螽斯	5.1	2	a詵a詵兮	詵 + 詵 + 兮	詵 + 詵 + 兮	5.1.a	詵	18 18 0
72	5	螽斯	5.1	4	宜爾子孫	宜 + 爾 + 子 + 孫	宜 + 爾 + 子 + 孫		孫	0 0 0 0
73	5	螽斯	5.1	5	a振a振兮	振 + 振 + 兮	振 + 振 + 兮	5.1.a	振	18 18 0
75	5	螽斯	5.2	1	螽斯羽	螽 + 斯 + 羽	螽 + 斯 + 羽		羽	0 0 0
76	5	螽斯	5.2	2	a薨a薨兮	薨 + 薨 + 兮	薨 + 薨 + 兮	5.2.a	薨	19 19 0
78	5	螽斯	5.2	4	宜爾子孫	宜 + 爾 + 子 + 孫	宜 + 爾 + 子 + 孫		孫	0 0 0 0
79	5	螽斯	5.2	5	a繩a繩兮	繩 + 繩 + 兮	繩 + 繩 + 兮	5.2.a	繩	19 19 0
81	5	螽斯	5.3	1	螽斯羽	螽 + 斯 + 羽	螽 + 斯 + 羽		羽	0 0 0
82	5	螽斯	5.3	2	a揖a揖兮	揖 + 揖 + 兮	揖 + 揖 + 兮	5.3.a	揖	20 20 0
84	5	螽斯	5.3	4	宜爾子孫	宜 + 爾 + 子 + 孫	宜 + 爾 + 子 + 孫		孫	0 0 0 0
85	5	螽斯	5.3	5	a蟄a蟄兮	蟄 + 蟄 + 兮	蟄 + 蟄 + 兮	5.3.a	蟄	20 20 0
87	6	桃夭	6.1	1	桃之夭夭	桃 + 之 + 夭 + 夭	桃 + 之 + 夭 + 夭		夭	0 0 0 0
88	6	桃夭	6.1	2	灼灼其a華	灼 + 灼 + 其 + 華	灼 + 灼 + 其 + 華	6.1.a	華	0 0 0 21
89	6	桃夭	6.1	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸		歸	0 0 0 0
90	6	桃夭	6.1	4	宜其室a家	宜 + 其 + 室 + 家	宜 + 其 + 室 + 家	6.1.a	家	0 0 0 21
91	6	桃夭	6.2	1	桃之夭夭	桃 + 之 + 夭 + 夭	桃 + 之 + 夭 + 夭		夭	0 0 0 0
92	6	桃夭	6.2	2	有蕡其a實	有 + 蕡 + 其 + 實	有 + 蕡 + 其 + 實	6.2.a	實	0 0 0 22
93	6	桃夭	6.2	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸		歸	0 0 0 0
94	6	桃夭	6.2	4	宜其家a室	宜 + 其 + 家 + 室	宜 + 其 + 家 + 室	6.2.a	室	0 0 0 22
95	6	桃夭	6.3	1	桃之夭夭	桃 + 之 + 夭 + 夭	桃 + 之 + 夭 + 夭		夭	0 0 0 0
96	6	桃夭	6.3	2	其葉蓁a蓁	其 + 葉 + 蓁 + 蓁	其 + 葉 + 蓁 + 蓁	6.3.a	蓁	0 0 0 23
97	6	桃夭	6.3	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸		歸	0 0 0 0
98	6	桃夭	6.3	4	宜其家a人	宜 + 其 + 家 + 人	宜 + 其 + 家 + 人	6.3.a	人	0 0 0 23
99	7	兔罝	7.1	1	肅肅兔a罝	肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + 罝	7.1.a	罝	0 0 0 24
100	7	兔罝	7.1	2	椓之丁b丁	椓 + 之 + 丁 + 丁	椓 + 之 + 丁 + 丁	7.1.b	丁	0 0 0 25
101	7	兔罝	7.1	3	赳赳武a夫	赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + 夫	7.1.a	夫	0 0 0 24
102	7	兔罝	7.1	4	公侯干b城	公 + 侯 + 干 + 城	公 + 侯 + 干 + 城	7.1.b	城	0 0 0 25
103	7	兔罝	7.2	1	肅肅兔a罝	肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + 罝	7.2.a	罝	0 0 0 26
104	7	兔罝	7.2	2	施于中b逵	施 + 于 + 中 + 逵	施 + 于 + 中 + 逵	7.2.b	逵	0 0 0 27
105	7	兔罝	7.2	3	赳赳武a夫	赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + 夫	7.2.a	夫	0 0 0 26
106	7	兔罝	7.2	4	公侯好b仇	公 + 侯 + 好 + 仇	公 + 侯 + 好 + 仇	7.2.b	仇	0 0 0 27
107	7	兔罝	7.3	1	肅肅兔a罝	肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + 罝	7.3.a	罝	0 0 0 28
108	7	兔罝	7.3	2	施于中b林	施 + 于 + 中 + 林	施 + 于 + 中 + 林	7.3.b	林	0 0 0 29
109	7	兔罝	7.3	3	赳赳武a夫	赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + 夫	7.3.a	夫	0 0 0 28
110	7	兔罝	7.3	4	公侯腹b心	公 + 侯 + 腹 + 心	公 + 侯 + 腹 + 心	7.3.b	心	0 0 0 29
111	8	芣苡	8.1	1	采采芣苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢		苢	0 0 0 0
112	8	芣苡	8.1	2	薄言a采之	薄 + 言 + 采 + 之	薄 + 言 + 采 + 之	8.1.a	采	0 0 30 0
113	8	芣苡	8.1	3	采采芣苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢		苢	0 0 0 0
114	8	芣苡	8.1	4	薄言a有之	薄 + 言 + 有 + 之	薄 + 言 + 有 + 之	8.1.a	有	0 0 30 0
115	8	芣苡	8.2	1	采采芣苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢		苢	0 0 0 0
116	8	芣苡	8.2	2	薄言a掇之	薄 + 言 + 掇 + 之	薄 + 言 + 掇 + 之	8.2.a	掇	0 0 31 0
117	8	芣苡	8.2	3	采采芣苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢		苢	0 0 0 0
118	8	芣苡	8.2	4	薄言a捋之	薄 + 言 + 捋 + 之	薄 + 言 + 捋 + 之	8.2.a	捋	0 0 31 0
119	8	芣苡	8.3	1	采采芣苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢		苢	0 0 0 0
120	8	芣苡	8.3	2	薄言a袺之	薄 + 言 + 袺 + 之	薄 + 言 + 袺 + 之	8.3.a	袺	0 0 32 0
121	8	芣苡	8.3	3	采采芣苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢		苢	0 0 0 0
122	8	芣苡	8.3	4	薄言a襭之	薄 + 言 + 襭 + 之	薄 + 言 + 襭 + 之	8.3.a	襭	0 0 32 0
123	9	漢廣	9.1	1	南有喬木	南 + 有 + 喬 + 木	南 + 有 + 喬 + 木		木	0 0 0 0
124	9	漢廣	9.1	2	不可a休x?d息	不 + 可 + 休 + 息	不 + 可 + 休 + 息	9.1.a	休	0 0 33 0
126	9	漢廣	9.1	4	漢有游女	漢 + 有 + 游 + 女	漢 + 有 + 游 + 女		女	0 0 0 0
127	9	漢廣	9.1	5	不可a求x?d思	不 + 可 + 求 + 思	不 + 可 + 求 + 思	9.1.a	求	0 0 33 0
129	9	漢廣	9.1	7	漢之b廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	9.1.b	廣	0 0 34 0
130	9	漢廣	9.1	8	不可c泳x?d思	不 + 可 + 泳 + 思	不 + 可 + 泳 + 思	9.1.c	泳	0 0 35 0
132	9	漢廣	9.1	10	江之b永矣	江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	9.1.b	永	0 0 34 0
133	9	漢廣	9.1	11	不可c方x?d思	不 + 可 + 方 + 思	不 + 可 + 方 + 思	9.1.c	方	0 0 35 0
135	9	漢廣	9.2	1	翹翹錯薪	翹 + 翹 + 錯 + 薪	翹 + 翹 + 錯 + 薪		薪	0 0 0 0
136	9	漢廣	9.2	2	言刈其a楚	言 + 刈 + 其 + 楚	言 + 刈 + 其 + 楚	9.2.a	楚	0 0 0 36
137	9	漢廣	9.2	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸		歸	0 0 0 0
138	9	漢廣	9.2	4	言秣其a馬	言 + 秣 + 其 + 馬	言 + 秣 + 其 + 馬	9.2.a	馬	0 0 0 36
139	9	漢廣	9.2	5	漢之b廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	9.2.b	廣	0 0 37 0
140	9	漢廣	9.2	6	不可c泳思	不 + 可 + 泳 + 思	不 + 可 + 泳 + 思	9.2.c	泳	0 0 38 0
141	9	漢廣	9.2	7	江之b永矣	江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	9.2.b	永	0 0 37 0
142	9	漢廣	9.2	8	不可c方思	不 + 可 + 方 + 思	不 + 可 + 方 + 思	9.2.c	方	0 0 38 0
143	9	漢廣	9.3	1	翹翹錯薪	翹 + 翹 + 錯 + 薪	翹 + 翹 + 錯 + 薪		薪	0 0 0 0
144	9	漢廣	9.3	2	言刈其a蔞	言 + 刈 + 其 + 蔞	言 + 刈 + 其 + 蔞	9.3.a	蔞	0 0 0 39
145	9	漢廣	9.3	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸		歸	0 0 0 0
146	9	漢廣	9.3	4	言秣其a駒	言 + 秣 + 其 + 駒	言 + 秣 + 其 + 駒	9.3.a	駒	0 0 0 39
147	9	漢廣	9.3	5	漢之b廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	9.3.b	廣	0 0 40 0
148	9	漢廣	9.3	6	不可c泳思	不 + 可 + 泳 + 思	不 + 可 + 泳 + 思	9.3.c	泳	0 0 41 0
149	9	漢廣	9.3	7	江之b永矣	江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	9.3.b	永	0 0 40 0
150	9	漢廣	9.3	8	不可c方思	不 + 可 + 方 + 思	不 + 可 + 方 + 思	9.3.c	方	0 0 41 0
151	10	汝墳	10.1	1	遵彼汝墳	遵 + 彼 + 汝 + 墳	遵 + 彼 + 汝 + 墳		墳	0 0 0 0
152	10	汝墳	10.1	2	伐其條a枚	伐 + 其 + 條 + 枚	伐 + 其 + 條 + 枚	10.1.a	枚	0 0 0 42
153	10	汝墳	10.1	3	未見君子	未 + 見 + 君 + 子	未 + 見 + 君 + 子		子	0 0 0 0
154	10	汝墳	10.1	4	惄如調a飢	惄 + 如 + 調 + 飢	惄 + 如 + 調 + 飢	10.1.a	飢	0 0 0 42
155	10	汝墳	10.2	1	遵彼汝墳	遵 + 彼 + 汝 + 墳	遵 + 彼 + 汝 + 墳		墳	0 0 0 0
156	10	汝墳	10.2	2	伐其條a肄	伐 + 其 + 條 + 肄	伐 + 其 + 條 + 肄	10.2.a	肄	0 0 0 43
157	10	汝墳	10.2	3	既見君子	既 + 見 + 君 + 子	既 + 見 + 君 + 子		子	0 0 0 0
158	10	汝墳	10.2	4	不我遐a棄	不 + 我 + 遐 + 棄	不 + 我 + 遐 + 棄	10.2.a	棄	0 0 0 43
159	10	汝墳	10.3	1	魴魚赬a尾	魴 + 魚 + 赬 + 尾	魴 + 魚 + 赬 + 尾	10.3.a	尾	0 0 0 44
160	10	汝墳	10.3	2	王室如a燬	王 + 室 + 如 + 燬	王 + 室 + 如 + 燬	10.3.a	燬	0 0 0 44
161	10	汝墳	10.3	3	雖則如a燬	雖 + 則 + 如 + 燬	雖 + 則 + 如 + 燬	10.3.a	燬	0 0 0 44
162	10	汝墳	10.3	4	父母孔a邇	父 + 母 + 孔 + 邇	父 + 母 + 孔 + 邇	10.3.a	邇	0 0 0 44
163	11	麟之趾	11.1	1	麟之a趾	麟 + 之 + 趾	麟 + 之 + 趾	11.1.a	趾	0 0 45
164	11	麟之趾	11.1	2	振振公a子	振 + 振 + 公 + 子	振 + 振 + 公 + 子	11.1.a	子	0 0 0 45
165	11	麟之趾	11.1	3	于嗟麟兮	于 + 嗟 + 麟 + 兮	于 + 嗟 + 麟 + 兮		麟	0 0 0 0
166	11	麟之趾	11.2	1	麟之a定	麟 + 之 + 定	麟 + 之 + 定	11.2.a	定	0 0 46
167	11	麟之趾	11.2	2	振振公a姓	振 + 振 + 公 + 姓	振 + 振 + 公 + 姓	11.2.a	姓	0 0 0 46
168	11	麟之趾	11.2	3	于嗟麟兮	于 + 嗟 + 麟 + 兮	于 + 嗟 + 麟 + 兮		麟	0 0 0 0
169	11	麟之趾	11.3	1	麟之a角	麟 + 之 + 角	麟 + 之 + 角	11.3.a	角	0 0 47
170	11	麟之趾	11.3	2	振振公a族	振 + 振 + 公 + 族	振 + 振 + 公 + 族	11.3.a	族	0 0 0 47
171	11	麟之趾	11.3	3	于嗟麟兮	于 + 嗟 + 麟 + 兮	于 + 嗟 + 麟 + 兮		麟	0 0 0 0
172	12	鵲巢	12.1	1	維鵲有巢	維 + 鵲 + 有 + 巢	維 + 鵲 + 有 + 巢		巢	0 0 0 0
173	12	鵲巢	12.1	2	維鳩a居之	維 + 鳩 + 居 + 之	維 + 鳩 + 居 + 之	12.1.a	居	0 0 48 0
174	12	鵲巢	12.1	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸		歸	0 0 0 0
175	12	鵲巢	12.1	4	百兩a御之	百 + 兩 + 御 + 之	百 + 兩 + 御 + 之	12.1.a	御	0 0 48 0
176	12	鵲巢	12.2	1	維鵲有巢	維 + 鵲 + 有 + 巢	維 + 鵲 + 有 + 巢		巢	0 0 0 0
177	12	鵲巢	12.2	2	維鳩a方之	維 + 鳩 + 方 + 之	維 + 鳩 + 方 + 之	12.2.a	方	0 0 49 0
178	12	鵲巢	12.2	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸		歸	0 0 0 0
179	12	鵲巢	12.2	4	百兩a將之	百 + 兩 + 將 + 之	百 + 兩 + 將 + 之	12.2.a	將	0 0 49 0
180	12	鵲巢	12.3	1	維鵲有巢	維 + 鵲 + 有 + 巢	維 + 鵲 + 有 + 巢		巢	0 0 0 0
181	12	鵲巢	12.3	2	維鳩a盈之	維 + 鳩 + 盈 + 之	維 + 鳩 + 盈 + 之	12.3.a	盈	0 0 50 0
182	12	鵲巢	12.3	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸		歸	0 0 0 0
183	12	鵲巢	12.3	4	百兩a成之	百 + 兩 + 成 + 之	百 + 兩 + 成 + 之	12.3.a	成	0 0 50 0
184	13	采蘩	13.1	1	于以采蘩	于 + 以 + 采 + 蘩	于 + 以 + 采 + 蘩		蘩	0 0 0 0
185	13	采蘩	13.1	2	于沼于a沚	于 + 沼 + 于 + 沚	于 + 沼 + 于 + 沚	13.1.a	沚	0 0 0 51
186	13	采蘩	13.1	3	于以用之	于 + 以 + 用 + 之	于 + 以 + 用 + 之		用	0 0 0 0
187	13	采蘩	13.1	4	公侯之a事	公 + 侯 + 之 + 事	公 + 侯 + 之 + 事	13.1.a	事	0 0 0 51
188	13	采蘩	13.2	1	于以采蘩	于 + 以 + 采 + 蘩	于 + 以 + 采 + 蘩		蘩	0 0 0 0
189	13	采蘩	13.2	2	于澗之a中	于 + 澗 + 之 + 中	于 + 澗 + 之 + 中	13.2.a	中	0 0 0 52
190	13	采蘩	13.2	3	于以用之	于 + 以 + 用 + 之	于 + 以 + 用 + 之		用	0 0 0 0
191	13	采蘩	13.2	4	公侯之a宮	公 + 侯 + 之 + 宮	公 + 侯 + 之 + 宮	13.2.a	宮	0 0 0 52
192	13	采蘩	13.3	1	被之僮a僮	被 + 之 + 僮 + 僮	被 + 之 + 僮 + 僮	13.3.a	僮	0 0 0 53
193	13	采蘩	13.3	2	夙夜在a公	夙 + 夜 + 在 + 公	夙 + 夜 + 在 + 公	13.3.a	公	0 0 0 53
194	13	采蘩	13.3	3	被之b祁b祁	被 + 之 + 祁 + 祁	被 + 之 + 祁 + 祁	13.3.b	祁	0 0 54 54
196	13	采蘩	13.3	5	薄言b還b歸	薄 + 言 + 還 + 歸	薄 + 言 + 還 + 歸	13.3.b	還	0 0 54 54
198	14	草蟲	14.1	1	喓喓草a蟲	喓 + 喓 + 草 + 蟲	喓 + 喓 + 草 + 蟲	14.1.a	蟲	0 0 0 55
199	14	草蟲	14.1	2	趯趯阜a螽	趯 + 趯 + 阜 + 螽	趯 + 趯 + 阜 + 螽	14.1.a	螽	0 0 0 55
200	14	草蟲	14.1	3	未見君x?b子	未 + 見 + 君 + 子	未 + 見 + 君 + 子		子	0 0 0 0
201	14	草蟲	14.1	4	憂心忡a忡	憂 + 心 + 忡 + 忡	憂 + 心 + 忡 + 忡	14.1.a	忡	0 0 0 55
202	14	草蟲	14.1	5	亦既見x?b止	亦 + 既 + 見 + 止	亦 + 既 + 見 + 止		止	0 0 0 0
203	14	草蟲	14.1	6	亦既覯x?b止	亦 + 既 + 覯 + 止	亦 + 既 + 覯 + 止		止	0 0 0 0
204	14	草蟲	14.1	7	我心則a降	我 + 心 + 則 + 降	我 + 心 + 則 + 降	14.1.a	降	0 0 0 55
205	14	草蟲	14.2	1	陟彼南山	陟 + 彼 + 南 + 山	陟 + 彼 + 南 + 山		山	0 0 0 0
206	14	草蟲	14.2	2	言采其a蕨	言 + 采 + 其 + 蕨	言 + 采 + 其 + 蕨	14.2.a	蕨	0 0 0 56
207	14	草蟲	14.2	3	未見君x?b子	未 + 見 + 君 + 子	未 + 見 + 君 + 子		子	0 0 0 0
208	14	草蟲	14.2	4	憂心惙a惙	憂 + 心 + 惙 + 惙	憂 + 心 + 惙 + 惙	14.2.a	惙	0 0 0 56
209	14	草蟲	14.2	5	亦既見x?b止	亦 + 既 + 見 + 止	亦 + 既 + 見 + 止		止	0 0 0 0
210	14	草蟲	14.2	6	亦既覯x?b止	亦 + 既 + 覯 + 止	亦 + 既 + 覯 + 止		止	0 0 0 0
211	14	草蟲	14.2	7	我心則a說	我 + 心 + 則 + 說	我 + 心 + 則 + 說	14.2.a	說	0 0 0 56
212	14	草蟲	14.3	1	陟彼南山	陟 + 彼 + 南 + 山	陟 + 彼 + 南 + 山		山	0 0 0 0
213	14	草蟲	14.3	2	言采其a薇	言 + 采 + 其 + 薇	言 + 采 + 其 + 薇	14.3.a	薇	0 0 0 57
214	14	草蟲	14.3	3	未見君x?b子	未 + 見 + 君 + 子	未 + 見 + 君 + 子		子	0 0 0 0
