ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS
1	1	關睢	1.1	1	關關雎a鳩	關 + 關 + 雎 + 鳩	關 + 關 + 雎 + 鳩	1.1.a	鳩	0 0 0 1
2	1	關睢	1.1	2	在河之a洲	在 + 河 + 之 + 洲	在 + 河 + 之 + 洲	1.1.a	洲	0 0 0 1
3	1	關睢	1.1	3	窈宨淑x?a女	窈 + 宨 + 淑 + 女	窈 + 宨 + 淑 + 女		女	0 0 0 0
4	1	關睢	1.1	4	君子好a逑	君 + 子 + 好 + 逑	君 + 子 + 好 + 逑	1.1.a	逑	0 0 0 1
5	1	關睢	1.2	1	參差荇菜	參 + 差 + 荇 + 菜	參 + 差 + 荇 + 菜		菜	0 0 0 0
6	1	關睢	1.2	2	左右a流之	左 + 右 + 流 + 之	左 + 右 + 流 + 之	1.2.a	流	0 0 2 0
7	1	關睢	1.2	3	窈宨淑女	窈 + 宨 + 淑 + 女	窈 + 宨 + 淑 + 女		女	0 0 0 0
8	1	關睢	1.2	4	寤寐a求之	寤 + 寐 + 求 + 之	寤 + 寐 + 求 + 之	1.2.a	求	0 0 2 0
9	1	關睢	1.3	1	求之不a得	求 + 之 + 不 + 得	求 + 之 + 不 + 得	1.3.a	得	0 0 0 3
10	1	關睢	1.3	2	寤寐思a服	寤 + 寐 + 思 + 服	寤 + 寐 + 思 + 服	1.3.a	服	0 0 0 3
11	1	關睢	1.3	3	悠哉悠x?a哉	悠 + 哉 + 悠 + 哉	悠 + 哉 + 悠 + 哉		哉	0 0 0 0
12	1	關睢	1.3	4	輾轉反a側	輾 + 轉 + 反 + 側	輾 + 轉 + 反 + 側	1.3.a	側	0 0 0 3
13	1	關睢	1.4	1	參差荇菜	參 + 差 + 荇 + 菜	參 + 差 + 荇 + 菜		菜	0 0 0 0
14	1	關睢	1.4	2	左右a采之	左 + 右 + 采 + 之	左 + 右 + 采 + 之	1.4.a	采	0 0 4 0
15	1	關睢	1.4	3	窈宨淑女	窈 + 宨 + 淑 + 女	窈 + 宨 + 淑 + 女		女	0 0 0 0
16	1	關睢	1.4	4	琴瑟a友之	琴 + 瑟 + 友 + 之	琴 + 瑟 + 友 + 之	1.4.a	友	0 0 4 0
17	1	關睢	1.5	1	參差荇菜	參 + 差 + 荇 + 菜	參 + 差 + 荇 + 菜		菜	0 0 0 0
